漢字	画数	漢検級	メモ	ペア1_部品1	ペア1_部品2	ペア2_部品1	ペア2_部品2	ペア3_部品1	ペア3_部品2
者	8	8級							
主	5	8級							
守	6	8級							
取	8	8級		耳	又				
酒	10	8級		水	酉				
受	8	8級							
州	6	8級							
拾	9	8級		手	合				
終	11	8級		糸	冬				
習	11	8級		羽	日				
集	12	8級							
住	7	8級		人	主				
重	9	8級							
宿	11	8級							
所	8	8級		戸	斤				
暑	12	8級		日	者				
助	7	8級							
昭	9	8級		日	召				
消	10	8級		水	肖				
商	11	8級							
章	11	8級		立	早				
勝	12	8級							
乗	9	8級							
植	12	8級		木	直				
申	5	8級		中	一				
身	7	8級							
神	9	8級		示	申				
真	10	8級		十	具				
深	11	8級							
進	11	8級							
世	5	8級							
整	16	8級							
昔	8	8級							
全	6	8級		人	王				
相	9	8級		木	目				
送	9	8級							
想	13	8級		相	心				
息	10	8級		自	心				
速	10	8級							
族	11	8級							
他	5	8級		人	也				
打	5	8級		手	丁				
対	7	8級							
待	9	8級							
代	5	8級							
第	11	8級							
題	18	8級							
炭	9	8級		山	灰				
短	12	8級		矢	豆				
談	15	8級		言	炎				
着	12	8級							
注	8	8級		水	主				
柱	9	8級		木	主				
丁	2	8級							
帳	11	8級		巾	長				
調	15	8級		言	周				
追	9	8級							
定	8	8級							
庭	10	8級							
笛	11	8級		竹	由				
鉄	13	8級		金	失				
転	11	8級		車	云				
都	11	8級							
度	9	8級							
投	7	8級							
豆	7	8級							
島	10	8級							
湯	12	8級		水	易				
登	12	8級							
等	12	8級		竹	寺				
動	11	8級		重	力				
童	12	8級		立	里				
農	13	8級		曲	辰				
波	8	8級		水	皮				
配	10	8級		酉	己				
倍	10	8級							
箱	15	8級		竹	相				
畑	9	8級		火	田				
発	9	8級							
反	4	8級							
坂	7	8級		土	反				
板	8	8級		木	反				
皮	5	8級							
悲	12	8級		非	心				
美	9	8級							
鼻	14	8級							
筆	12	8級							
氷	5	8級							
表	8	8級							
秒	9	8級		禾	少				
病	10	8級							
品	9	8級							
負	9	8級							
部	11	8級							
服	8	8級							
福	13	8級							
物	8	8級		牛	勿				
平	5	8級							
返	7	8級							
勉	10	8級		免	力				
放	8	8級							
味	8	8級		日	未				
命	8	8級							
面	9	8級							
問	11	8級		門	口				
役	7	8級							
薬	16	8級							
由	5	8級							
油	8	8級		水	由				
有	6	8級							
遊	12	8級							
予	4	8級							
羊	6	8級							
洋	9	8級		水	羊				
葉	12	8級							
陽	12	8級							
様	14	8級							
落	12	8級							
流	10	8級							
旅	10	8級							
両	6	8級							
緑	14	8級							
礼	5	8級							
列	6	8級							
練	14	8級		糸	東				
路	13	8級		足	各				
和	8	8級		禾	口				
愛	13	7級							
案	10	7級		宋	女				
以	5	7級							
衣	6	7級							
位	7	7級		人	立				
囲	7	6級		口	井				
胃	9	5級		田	肉	田	月		
印	6	7級							
英	8	7級							
栄	9	7級							
塩	13	7級							
億	15	7級		人	意				
加	5	7級		力	口				
果	8	7級		田	木				
貨	11	7級		化	貝				
課	15	7級		言	果				
芽	8	7級							
改	7	7級							
械	11	7級		木	戒				
害	10	7級							
街	12	7級							
各	6	7級							
覚	12	7級							
完	7	7級							
官	8	7級							
管	14	7級		竹	官				
関	14	7級							
観	18	7級							
願	19	7級							
希	7	7級							
季	8	7級		禾	子				
紀	9	6級		糸	己				
喜	12	6級							
旗	14	7級							
器	15	7級							
機	16	7級		木	幾				
議	20	7級		言	義				
求	7	7級							
泣	8	7級		水	立				
救	11	6級							
給	12	7級		糸	合				
挙	10	7級							
漁	14	7級		水	魚				
共	6	7級							
協	8	7級							
鏡	19	7級							
競	20	7級							
極	12	7級							
訓	10	7級		言	川				
軍	9	7級							
郡	10	7級							
径	8	7級							
型	9	6級		刑	土				
景	12	7級		日	京				
芸	7	7級							
欠	4	7級							
結	12	7級		糸	吉				
建	9	7級							
健	11	7級							
験	18	7級							
固	8	7級		口	古				
功	5	7級		工	力				
好	6	7級		女	子				
候	10	7級							
航	10	6級							
康	11	7級							
告	7	6級							
差	10	7級							
菜	11	7級							
最	12	7級		旦	取				
材	7	7級		木	才				
昨	9	7級							
札	5	7級		木	乙				
刷	8	7級							
殺	10	6級							
察	14	7級							
参	8	7級							
産	11	7級							
散	12	7級							
残	10	7級							
士	3	6級		十	一				
氏	4	7級							
史	5	6級							
司	5	7級							
試	13	7級		言	式				
児	7	7級							
治	8	7級		水	台				
辞	13	7級		舌	辛				
失	5	7級							
借	10	7級		人	昔				
種	14	7級		禾	重				
周	8	7級							
祝	9	7級							
順	12	7級		川	頁				
初	7	7級		衣	刀				
松	8	7級		木	公				
笑	10	7級							
唱	11	7級		口	昌				
焼	12	7級							
象	12	6級							
照	13	7級		昭	火				
賞	15	6級							
臣	7	7級							
信	9	7級		人	言				
成	6	7級							
省	9	7級		少	目				
清	11	7級		水	青				
静	14	7級		青	争				
席	10	7級							
積	16	7級		禾	責				
折	7	7級		手	斤				
節	13	7級		竹	即				
説	14	7級		言	兌				
浅	9	7級							
戦	13	7級							
選	15	7級							
然	12	7級							
争	6	7級							
倉	10	7級							
巣	11	7級							
束	7	7級							
側	11	7級		人	則				
続	13	7級		糸	売				
卒	8	7級							
孫	10	7級		子	系				
帯	10	7級							
隊	12	7級							
達	12	7級							
単	9	7級							
置	13	7級							
仲	6	7級		人	中				
貯	12	6級							
兆	6	7級							
腸	13	5級		肉	易	月	易		
低	7	7級							
底	8	7級							
停	11	6級		人	亭				
的	8	7級		白	勺				
典	8	7級							
伝	6	7級		人	云				
徒	10	7級							
努	7	7級		奴	力				
灯	6	7級		火	丁				
堂	11	6級							
働	13	7級		人	動				
特	10	7級		牛	寺				
得	11	6級							
毒	8	6級							
熱	15	7級							
念	8	7級		今	心				
敗	11	7級							
梅	10	7級		木	毎				
博	12	7級							
飯	12	7級		食	反				
飛	9	7級							
費	12	6級							
必	5	7級							
票	11	7級		西	示				
標	15	7級		木	票				
不	4	7級							
夫	4	7級		大	一				
付	5	7級		人	寸				
府	8	7級							
副	11	7級							
粉	10	6級		米	分				
兵	7	7級							
別	7	7級							
辺	5	7級							
変	9	7級							
便	9	7級		人	更				
包	5	7級							
法	8	7級		水	去				
望	11	7級							
牧	8	7級							
末	5	7級		木	一				
満	12	7級							
未	5	7級							
脈	10	6級							
民	5	7級							
無	12	7級							
約	9	7級		糸	勺				
勇	9	7級							
要	9	7級		西	女				
養	15	7級							
浴	10	7級		水	谷				
利	7	7級		禾	刀				
陸	11	7級							
良	7	7級							
料	10	7級		米	斗				
量	12	7級							
輪	15	7級							
類	18	7級							
令	5	7級							
冷	7	7級							
例	8	7級		人	列				
歴	14	6級							
連	10	7級							
老	6	7級							
労	7	7級							
録	16	7級							
圧	5	6級							
移	11	6級		禾	多				
因	6	6級		口	大				
永	5	6級							
営	12	6級							
衛	16	6級							
易	8	6級		日	勿				
益	10	6級							
液	11	6級		水	夜				
演	14	6級		水	寅				
応	7	6級							
往	8	6級							
桜	10	6級							
恩	10	5級		因	心				
可	5	6級							
仮	6	6級		人	反				
価	8	6級							
河	8	6級		水	可				
過	12	6級							
賀	12	7級		加	貝				
快	7	6級							
解	13	6級							
格	10	6級		木	各				
確	15	6級							
額	18	6級							
刊	5	6級		干	刀				
幹	13	6級							
慣	14	6級		心	貫				
眼	11	6級							
基	11	6級							
寄	11	6級							
規	11	6級							
技	7	6級		手	支				
義	13	6級							
逆	9	6級							
久	3	6級							
旧	5	6級							
居	8	6級							
許	11	6級		言	午				
境	14	6級		土	意				
均	7	6級		土	勺				
禁	13	6級		林	示				
句	5	6級							
群	13	7級		君	羊				
経	11	6級							
潔	15	6級							
件	6	6級		人	牛				
券	8	5級							
険	11	6級							
検	12	6級							
限	9	6級							
現	11	6級		王	見				
減	12	6級							
故	9	6級							
個	10	6級		人	固				
護	20	6級							
効	8	6級		交	力				
厚	9	6級							
耕	10	6級							
鉱	13	6級							
構	14	6級							
興	16	6級							
講	17	6級							
混	11	6級		水	昆				
査	9	6級							
再	6	6級							
災	7	6級							
妻	8	6級							
採	11	6級							
際	14	6級							
在	6	6級							
財	10	6級		貝	才				
罪	13	6級							
雑	14	6級							
酸	14	6級							
賛	15	6級							
支	4	6級		十	又				
志	7	6級		士	心				
枝	8	6級		木	支				
師	10	6級							
資	13	6級		次	貝				
飼	13	6級		食	司				
示	5	6級		二	小				
似	7	6級		人	以				
識	19	6級							
質	15	6級							
舎	8	6級							
謝	17	6級		言	射				
授	11	6級		手	受				
修	10	6級							
述	8	6級							
術	11	6級							
準	13	6級							
序	7	6級							
招	8	6級		手	召				
承	8	5級							
証	12	6級		言	正				
条	7	6級							
状	7	6級							
常	11	6級							
情	11	6級		心	青				
織	18	6級							
職	18	6級							
制	8	6級							
性	8	6級		心	生				
政	9	6級							
勢	13	6級							
精	14	6級		米	青				
製	14	6級		制	衣				
税	12	6級							
責	11	6級							
績	17	6級		糸	責				
接	11	6級		手	妾				
設	11	6級							
舌	6	5級							
絶	12	6級		糸	色				
銭	14	5級							
祖	9	6級							
素	10	6級							
総	14	6級							
造	10	6級							
像	14	6級		人	象				
増	14	6級							
則	9	6級		貝	刀				
測	12	6級		水	則				
属	12	6級							
率	11	6級							
損	13	6級		手	員				
退	9	5級							
貸	12	6級		代	貝				
態	14	6級		能	心				
団	6	6級		口	寸				
断	11	6級							
築	16	6級							
張	11	6級		弓	長				
提	12	6級		手	是				
程	12	6級		禾	呈				
適	14	6級							
敵	15	5級							
統	12	6級		糸	充				
銅	14	6級		金	同				
導	15	6級		道	寸				
徳	14	7級							
独	9	6級		犬	虫				
任	6	6級		人	壬				
燃	16	6級		火	然				
能	10	6級							
破	10	6級		石	皮				
犯	5	6級							
判	7	6級		半	刀				
版	8	6級							
比	4	6級		人	人				
肥	8	6級		肉	巴	月	巴		
非	8	6級							
備	12	6級							
俵	10	5級		人	表				
評	12	6級		言	平				
貧	11	6級		分	貝				
布	5	6級							
婦	11	6級							
富	12	7級							
武	8	6級							
復	12	6級							
複	14	6級							
仏	4	6級							
編	15	6級							
弁	5	6級							
保	9	6級		人	呆				
墓	13	6級							
報	12	6級							
豊	13	6級		曲	豆				
防	7	6級		阜	方				
貿	12	6級							
暴	15	6級							
務	11	6級							
夢	13	6級							
迷	9	6級							
綿	14	6級							
輸	16	6級							
余	7	6級							
預	13	5級							
容	10	6級							
略	11	6級		田	各				
留	10	6級							
領	14	6級							
異	11	5級		田	共				
遺	15	5級							
域	11	5級		土	或				
宇	6	5級							
映	9	5級		日	央				
延	8	5級							
沿	8	5級							
我	7	5級							
灰	6	5級							
拡	8	5級		手	広				
革	9	5級							
閣	14	5級		門	各				
割	12	5級		害	刀				
株	10	5級		木	朱				
干	3	5級		一	十				
巻	9	5級							
看	9	5級							
簡	18	5級		竹	間				
危	6	5級							
机	6	5級		木	几				
揮	12	5級		手	軍				
貴	12	5級							
疑	14	5級							
吸	6	5級		口	及				
供	8	5級		人	共				
胸	10	5級							
郷	11	5級							
勤	12	5級							
筋	12	5級							
系	7	5級							
敬	12	5級							
警	19	5級		敬	言				
劇	15	5級							
激	16	5級							
穴	5	5級							
絹	13	5級							
権	15	5級							
憲	16	5級							
源	13	5級		水	原				
厳	17	5級							
己	3	5級							
呼	8	5級							
誤	14	5級		言	呉				
后	6	5級							
孝	7	5級							
皇	9	5級		白	王				
紅	9	5級		糸	工				
降	10	5級							
鋼	16	5級		金	岡				
刻	8	5級		亥	刀				
穀	14	5級							
骨	10	5級							
困	7	5級		口	木				
砂	9	5級		石	少				
座	10	5級							
済	11	5級		水	斉				
裁	12	5級							
策	12	5級							
冊	5	5級							
蚕	10	5級		天	虫				
至	6	5級							
私	7	5級							
姿	9	5級		次	女				
視	11	5級							
詞	12	5級		言	司				
誌	14	5級		言	志				
磁	14	5級							
射	10	5級		身	寸				
捨	11	5級		手	舎				
尺	4	5級							
若	8	5級							
樹	16	5級							
収	4	5級							
宗	8	5級							
就	12	5級		京	尤				
衆	12	5級							
従	10	5級							
縦	16	5級		糸	従				
縮	17	5級		糸	宿				
熟	15	5級							
純	10	5級		糸	屯				
処	5	5級							
署	13	5級							
諸	15	5級		言	者				
除	10	5級		阜	余				
将	10	5級							
傷	13	5級							
障	14	5級							
城	9	7級		土	成				
蒸	13	5級							
針	10	5級		金	十				
仁	4	5級		人	二				
垂	8	5級							
推	11	5級							
寸	3	5級							
盛	11	5級		成	皿				
聖	13	5級							
誠	13	5級		言	成				
宣	9	5級							
専	9	5級							
泉	9	5級		白	水				
洗	9	5級		水	先				
染	9	5級		氿	十				
善	12	5級							
奏	9	5級							
窓	11	5級							
創	12	5級		倉	刀				
装	12	5級		壮	衣				
層	14	5級							
操	16	5級							
蔵	15	5級							
臓	19	5級		肉	蔵	月	蔵		
存	6	5級							
尊	12	5級							
宅	6	5級							
担	8	5級		手	旦				
探	11	5級							
誕	15	5級		言	延				
段	9	5級							
暖	13	5級							
値	10	5級		人	直				
宙	8	5級							
忠	8	5級		中	心				
著	11	5級							
庁	5	5級							
頂	11	5級							
潮	15	5級		水	朝				
賃	13	5級		任	貝				
痛	12	5級							
展	10	5級							
討	10	5級		言	寸				
党	10	5級							
糖	16	5級		米	唐				
届	8	5級							
難	18	5級							
乳	8	5級							
認	14	5級		言	忍				
納	10	5級		糸	内				
脳	11	5級							
派	9	5級							
拝	8	5級							
背	9	5級		北	肉	北	月		
肺	9	5級		肉	市	月	市		
俳	10	5級		人	非				
班	10	5級							
晩	12	5級		日	免				
否	7	5級		不	口				
批	7	5級		手	比				
秘	10	5級		禾	必				
腹	13	5級							
奮	16	5級							
並	8	5級							
陛	10	5級							
閉	11	5級		門	才				
片	4	5級							
補	12	5級		衣	甫				
暮	14	5級							
宝	8	5級							
訪	11	5級		言	方				
亡	3	5級							
忘	7	5級		亡	心				
棒	12	5級							
枚	8	5級							
幕	13	5級							
密	11	5級							
盟	13	5級		明	皿				
模	14	5級		木	莫				
訳	11	5級		言	尺				
郵	11	5級							
優	17	5級		人	憂				
幼	5	5級							
欲	11	5級		谷	欠				
翌	11	5級		羽	立				
乱	7	5級		舌	乙				
卵	7	5級							
覧	17	5級							
裏	13	5級							
律	9	5級							
臨	18	5級							
朗	10	5級		良	月				
論	15	5級							
亜	7	準2級							
哀	9	3級		衣	口				
挨	10	2級							
曖	17	2級		日	愛				
握	12	4級		手	屋				
扱	6	4級		手	及				
宛	8	2級							
嵐	12	2級		山	風				
依	8	4級		人	衣				
為	9	4級							
畏	9	2級							
尉	11	準2級							
萎	11	2級							
偉	12	4級		人	韋				
椅	12	2級		木	奇				
彙	13	2級							
違	13	4級							
維	14	4級		糸	隹				
慰	15	3級							
緯	16	4級		糸	韋				
壱	7	4級							
逸	11	準2級							
芋	6	4級							
咽	9	2級		口	因				
姻	9	準2級		女	因				
淫	11	2級							
陰	11	4級							
隠	14	4級							
韻	19	準2級		音	員				
唄	10	2級		口	貝				
鬱	29	2級							
畝	10	準2級							
浦	10	準2級		水	甫				
詠	12	3級		言	永				
影	15	4級							
鋭	15	4級		金	兑				
疫	9	準2級							
悦	10	3級		心	兑	小	兑		
越	12	4級							
謁	15	準2級							
閲	15	3級		門	兑				
炎	8	3級		火	火				
怨	9	2級							
宴	10	3級							
援	12	4級		手	爰				
煙	13	4級							
猿	13	準2級		犬	袁				
鉛	13	4級							
縁	15	4級							
艶	19	2級		豊	色				
汚	6	4級							
凹	5	準2級							
押	8	4級		手	甲				
旺	8	2級		日	王				
欧	8	3級		区	欠				
殴	8	3級		殳	区				
翁	10	準2級		公	羽				
奥	12	4級							
憶	16	4級		心	意	小	意		
臆	17	2級		肉	意	月	意		
虞	13	準2級							
乙	1	3級							
俺	10	2級		人	奄				
卸	9	3級							
穏	16	3級							
佳	8	3級		人	圭				
苛	8	2級							
架	9	3級		加	木				
華	10	3級							
菓	11	4級							
渦	12	準2級		水	咼				
嫁	13	3級		女	家				
暇	13	4級							
禍	13	準2級		示	咼				
靴	13	準2級		革	化				
寡	14	準2級							
箇	14	4級		竹	固				
稼	15	準2級		禾	家				
蚊	10	準2級		虫	文				
牙	4	2級							
瓦	5	2級							
雅	13	4級		牙	隹				
餓	15	3級		食	我				
介	4	4級							
戒	7	4級							
怪	8	3級							
拐	8	準2級							
悔	9	3級		心	毎	小	毎		
皆	9	4級		比	白				
塊	13	3級		土	鬼				
楷	13	2級		木	皆				
潰	15	2級		水	責				
壊	16	4級							
懐	16	準2級							
諧	16	2級		言	皆				
劾	8	準2級		亥	力				
崖	11	2級		山	厓				
涯	11	準2級		水	厓				
慨	13	3級		心	既	小	既		
蓋	13	2級							
該	13	3級		言	亥				
概	14	3級		木	既				
骸	16	2級		骨	亥				
垣	9	準2級							
柿	9	2級		木	市				
核	10	準2級		木	亥				
殻	11	準2級							
郭	11	3級							
較	13	4級		車	交				
隔	13	3級							
獲	16	4級		犬	蒦				
嚇	17	準2級							
穫	18	3級		禾	蒦				
岳	8	3級		丘	山				
顎	18	2級							
掛	11	3級							
括	9	準2級		手	舌				
喝	11	準2級		口	曷				
渇	11	準2級		水	曷				
葛	12	2級							
滑	13	3級		水	骨				
褐	13	準2級		衣	曷				
轄	17	準2級		車	害				
且	5	準2級							
釜	10	2級							
鎌	18	2級		金	兼				
刈	4	4級							
甘	5	4級							
汗	6	4級		水	干				
缶	6	準2級							
肝	7	3級		肉	干	月	干		
冠	9	3級							
陥	10	準2級							
乾	11	4級		車	乞				
勘	11	3級		甚	力				
患	11	準2級		串	心				
貫	11	3級							
喚	12	3級		口	奐				
堪	12	準2級		土	甚				
換	12	3級		手	奐				
敢	12	3級							
棺	12	準2級		木	官				
款	12	準2級							
閑	12	準2級		門	木				
勧	13	4級		隺	力				
寛	13	準2級							
歓	15	4級		隺	欠				
監	15	4級							
緩	15	3級		糸	爰				
憾	16	準2級		心	感	小	感		
還	16	準2級							
環	17	4級		王	睘				
韓	18	2級							
艦	21	準2級		舟	監				
鑑	23	4級		金	監				
含	7	4級		今	口				
玩	8	2級		王	元				
頑	13	準2級		元	頁				
企	6	3級		人	止				
伎	6	2級		人	支				
忌	7	3級		己	心				
奇	8	4級		大	可				
祈	8	4級		示	斤				
軌	9	3級		車	九				
既	10	3級							
飢	10	準2級		食	几				
鬼	10	4級							
亀	11	2級							
幾	12	4級							
棋	12	3級		木	其				
棄	13	3級							
毀	13	2級							
畿	15	2級							
輝	15	4級		光	軍				
騎	18	3級		馬	奇				
宜	8	準2級							
偽	11	準2級		人	為				
欺	12	3級		其	欠				
儀	15	4級		人	義				
戯	15	4級							
擬	17	準2級		手	疑				
犠	17	3級		牛	義				
菊	11	3級							
吉	6	3級		士	口				
喫	12	3級		口	契				
詰	13	4級		言	吉				
却	7	4級							
脚	11	4級		月	却	肉	却		
虐	9	3級							
及	3	4級		人	又				
丘	5	4級							
朽	6	4級		木	丂				
臼	6	2級							
糾	9	準2級							
嗅	13	2級							
窮	15	準2級							
巨	5	4級							
拒	8	準2級		手	巨				
拠	8	4級		手	処				
虚	11	3級							
距	12	4級		足	巨				
御	12	4級							
凶	4	4級							
叫	6	4級							
狂	7	4級		犬	王				
享	8	準2級							
況	8	4級		水	兄				
峡	9	3級							
挟	9	準2級							
狭	9	4級							
恐	10	4級							
恭	10	準2級		共	心				
脅	10	3級							
矯	17	準2級		矢	喬				
響	20	4級		郷	音				
