漢字	画数	漢検級	メモ	ペア1_部品1	ペア1_部品2	ペア2_部品1	ペア2_部品2	ペア3_部品1	ペア3_部品2
碁	13	準2級							
勾	4	2級							
孔	4	3級							
巧	5	3級							
甲	5	3級							
江	6	準2級		水	工				
坑	7	3級		土	亘				
抗	7	4級		手	亢				
攻	7	4級							
更	7	4級							
拘	8	3級		手	句				
肯	8	準2級		止	肉	止	月		
侯	9	準2級							
恒	9	4級		心	亘	小	亘		
洪	9	準2級		水	共				
荒	9	4級							
郊	9	3級							
貢	10	準2級		工	貝				
控	11	3級							
梗	11	2級		木	更				
喉	12	2級							
慌	12	3級		心	荒	小	荒		
硬	12	3級		石	更				
絞	12	3級		糸	交				
項	12	4級		工	頁				
溝	13	準2級							
綱	14	3級		糸	岡				
酵	14	3級		酉	考				
稿	15	4級		禾	高				
衡	16	準2級							
購	17	準2級							
乞	3	2級							
拷	9	準2級		手	考				
剛	10	準2級		岡	刀				
傲	13	2級							
豪	14	4級							
克	7	3級		十	兄				
酷	14	準2級		酉	告				
獄	14	3級							
駒	15	2級		馬	旬				
込	5	4級							
頃	11	2級							
昆	8	準2級		日	比				
恨	9	3級							
婚	11	4級		女	昏				
痕	11	2級							
紺	11	3級		糸	甘				
魂	14	3級		云	鬼				
墾	16	3級							
懇	17	準2級							
唆	10	準2級		口	夋				
詐	12	準2級							
鎖	18	4級							
挫	10	2級							
采	8	2級							
砕	9	準2級							
宰	10	準2級							
栽	10	準2級							
彩	11	4級							
斎	11	準2級							
債	13	3級		人	責				
催	13	3級		人	崔				
塞	13	2級							
歳	13	4級							
載	13	4級							
剤	10	4級		斉	刀				
削	9	3級		肖	刀				
柵	9	2級		木	冊				
索	10	準2級							
酢	12	準2級							
搾	13	3級							
錯	16	3級		金	昔				
咲	9	4級							
刹	8	2級							
拶	9	2級							
撮	15	3級		手	最				
擦	17	3級		手	察				
桟	10	準2級							
惨	11	4級		心	参	小	参		
傘	12	準2級							
斬	11	2級		車	斤				
暫	15	3級		斬	日				
旨	6	4級							
伺	7	4級		人	司				
刺	8	4級							
祉	8	3級		示	止				
肢	8	準2級		肉	支	月	支		
施	9	3級							
恣	10	2級		次	心				
脂	10	4級		肉	旨	月	旨		
紫	12	4級							
嗣	13	準2級							
雌	14	4級							
摯	15	2級		執	手				
賜	15	準2級		貝	易				
諮	16	3級							
侍	8	3級		人	寺				
慈	13	3級							
餌	15	2級		食	耳				
璽	19	準2級							
軸	12	3級		車	由				
疾	10	3級							
執	11	4級							
湿	12	3級							
嫉	13	2級		女	疾				
漆	14	準2級							
芝	6	4級							
赦	11	3級							
斜	11	4級		余	斗				
煮	12	4級		者	火				
遮	14	準2級							
邪	8	3級							
蛇	11	準2級							
酌	10	準2級		酉	勺				
釈	11	4級							
爵	17	準2級							
寂	11	4級							
朱	6	4級							
狩	9	4級		犬	守				
殊	10	3級							
珠	10	準2級		王	朱				
腫	13	2級		肉	重				
趣	15	4級		走	取				
寿	7	3級							
呪	8	2級		口	兄				
需	14	4級		雨	而				
儒	16	準2級		人	需				
囚	5	準2級		口	人				
舟	6	4級							
秀	7	4級		禾	乃				
臭	9	準2級		自	大				
袖	10	2級		衣	由				
羞	11	2級							
愁	13	準2級		秋	心				
酬	13	準2級							
醜	17	準2級		酉	鬼				
蹴	19	2級		足	就				
襲	22	4級		龍	衣				
汁	5	準2級		水	十				
充	6	準2級							
柔	9	4級		矛	木				
渋	11	準2級							
銃	14	準2級		金	充				
獣	16	4級							
叔	8	準2級							
淑	11	準2級		水	叔				
粛	11	準2級							
塾	14	準2級							
俊	9	準2級		人	夋				
瞬	18	4級		目	舜				
旬	6	4級		句	一				
巡	6	4級							
盾	9	4級							
准	10	準2級							
殉	10	準2級							
循	12	準2級							
潤	15	3級		水	閏				
遵	15	3級							
庶	11	準2級							
緒	14	準2級		糸	者				
如	6	3級		女	口				
叙	9	準2級		余	又				
徐	10	3級							
升	4	準2級							
召	5	4級		刀	口				
匠	6	3級							
床	7	4級							
抄	7	準2級		手	少				
肖	7	準2級		小	月				
尚	8	準2級							
昇	8	3級		日	升				
沼	8	4級		水	召				
宵	10	準2級							
症	10	準2級							
祥	10	準2級		示	羊				
称	10	4級							
渉	11	準2級		水	歩				
紹	11	4級		糸	召				
訟	11	準2級		言	公				
掌	12	3級							
晶	12	3級		昌	日				
焦	12	3級		隹	火				
硝	12	準2級		石	肖				
粧	12	準2級		米	庄				
詔	12	準2級		言	召				
奨	13	準2級		将	大				
詳	13	4級		言	羊				
彰	14	準2級							
憧	15	2級		心	童	小	童		
衝	15	3級							
償	17	準2級		人	賞				
礁	17	準2級		石	焦				
鐘	20	3級		金	童				
丈	3	4級							
冗	4	3級							
浄	9	準2級		水	争				
剰	11	準2級		乗	刀				
畳	12	4級							
壌	16	準2級		土	襄				
嬢	16	3級		女	襄				
錠	16	3級		金	定				
譲	20	3級		言	襄				
醸	20	準2級		酉	襄				
拭	9	2級		手	式				
殖	12	4級							
飾	13	4級							
触	13	4級		角	虫				
嘱	15	3級		口	属				
辱	10	3級		辰	寸				
尻	5	2級							
伸	7	3級		人	申				
芯	7	2級							
辛	7	3級		立	十				
侵	9	4級							
津	9	準2級		水	聿				
唇	10	準2級		辰	口				
娠	10	準2級		女	辰				
振	10	4級		手	辰				
浸	10	4級							
紳	11	準2級		糸	申				
診	12	準2級							
寝	13	4級							
慎	13	4級		心	真	小	真		
審	15	3級							
震	15	4級		雨	辰				
薪	16	4級							
刃	3	準2級							
尽	6	4級							
迅	6	準2級							
甚	9	準2級							
陣	10	4級		阜	車				
尋	12	4級							
腎	13	2級							
須	12	2級							
吹	7	4級		口	欠				
炊	8	3級		火	欠				
帥	9	準2級							
粋	10	3級							
衰	10	3級							
酔	11	3級							
遂	12	3級							
睡	13	準2級		目	垂				
穂	15	3級		禾	恵				
随	12	3級							
髄	19	3級							
枢	8	準2級		木	区				
崇	11	準2級		山	宗				
据	11	準2級		手	居				
杉	7	準2級							
裾	13	2級		衣	居				
瀬	19	3級							
是	9	4級							
姓	8	4級		女	生				
征	8	4級							
斉	8	準2級							
牲	9	3級		牛	生				
凄	10	2級							
逝	10	準2級							
婿	12	3級							
誓	14	準2級		折	言				
請	15	3級		言	青				
醒	16	2級		酉	星				
斥	5	3級							
析	8	準2級		木	斤				
脊	10	2級							
隻	10	3級		隹	又				
惜	11	3級		心	昔	小	昔		
戚	11	2級							
跡	13	4級							
籍	20	3級							
拙	8	準2級		手	出				
窃	9	準2級		穴	切				
摂	13	3級							
仙	5	準2級		人	山				
占	5	4級							
扇	10	4級		戸	羽				
栓	10	準2級		木	全				
旋	11	準2級							
煎	13	2級		前	火				
羨	13	2級							
腺	13	2級		肉	泉				
詮	13	2級		言	全				
践	13	準2級							
箋	14	2級							
潜	15	3級		水	替				
遷	15	準2級							
薦	16	準2級							
繊	17	準2級							
鮮	17	4級		魚	羊				
禅	13	準2級		示	単				
漸	14	準2級							
膳	16	2級		肉	善				
繕	18	3級		糸	善				
狙	8	2級							
阻	8	3級		阜	且				
租	10	準2級		禾	且				
措	11	3級		手	昔				
粗	11	3級		米	且				
疎	12	準2級							
訴	12	4級		言	斥				
塑	13	準2級		朔	土				
遡	14	2級							
礎	18	3級		石	楚				
双	4	3級		隻	隹	又	又		
壮	6	準2級							
荘	9	準2級							
捜	10	準2級							
挿	10	準2級							
桑	10	3級							
掃	11	3級							
曹	11	準2級							
曽	11	2級							
爽	11	2級							
喪	12	準2級							
痩	12	2級							
葬	12	3級							
僧	13	4級		人	曹				
遭	14	3級							
槽	15	準2級		木	曹				
踪	15	2級		足	宗				
燥	17	4級							
霜	17	準2級		雨	相				
騒	18	4級							
藻	19	準2級							
憎	14	3級		心	曽	小	曽		
贈	18	4級		貝	曽				
即	7	4級							
促	9	3級		人	足				
捉	10	2級		手	足				
俗	9	4級		人	谷				
賊	13	3級		貝	戒				
遜	14	2級							
汰	7	2級		水	太				
妥	7	準2級		爪	女				
唾	11	2級		口	垂				
堕	12	準2級							
惰	12	準2級							
駄	14	準2級		馬	太				
耐	9	4級		而	寸				
怠	9	3級							
胎	9	3級		肉	台	月	台		
泰	10	準2級							
堆	11	2級		土	隹				
袋	11	3級		代	衣				
逮	11	3級							
替	12	4級							
滞	13	3級		水	帯				
戴	17	2級							
滝	13	3級		水	竜				
択	7	3級		手	尺				
沢	7	4級		水	尺				
卓	8	3級							
拓	8	4級		手	石				
託	10	3級							
濯	17	準2級		水	翟				
諾	15	3級		言	若				
濁	16	4級		水	蜀				
但	7	準2級		人	旦				
脱	11	4級		肉	兌	月	兌		
奪	14	3級							
棚	12	準2級		木	朋				
誰	15	2級		言	隹				
丹	4	4級							
旦	5	2級		日	一				
胆	9	3級		肉	旦	月	旦		
淡	11	4級		水	炎				
嘆	13	4級							
端	14	4級							
綻	14	2級		糸	定				
鍛	17	3級		金	段				
弾	12	4級		弓	単				
壇	16	3級		土	亶				
恥	10	4級		耳	心				
致	10	4級							
遅	12	4級							
痴	13	準2級							
稚	13	3級		禾	隹				
緻	16	2級		糸	致				
畜	10	3級		玄	田				
逐	10	準2級							
蓄	13	4級							
秩	10	準2級		禾	失				
窒	11	3級		穴	至				
嫡	14	準2級		女	啇				
抽	8	3級		手	由				
衷	9	準2級							
酎	10	2級		酉	寸				
鋳	15	3級		金	寿				
駐	15	3級		馬	主				
弔	4	準2級		弓	人				
挑	9	準2級		手	兆				
彫	11	3級							
眺	11	準2級		目	兆				
釣	11	準2級		金	勺				
貼	12	2級		貝	占				
超	12	3級		走	召				
跳	13	4級		足	兆				
徴	14	4級							
嘲	15	2級		口	朝				
澄	15	4級		水	登				
聴	17	3級							
懲	18	準2級		徴	心				
勅	9	準2級		束	力				
捗	10	2級		手	歩				
沈	7	4級		水	冘				
珍	9	4級							
朕	10	準2級							
陳	11	3級		阜	東				
鎮	18	3級		金	真				
椎	12	2級		木	隹				
墜	15	3級		隊	土				
塚	12	準2級							
漬	14	準2級		水	責				
坪	8	準2級		土	平				
爪	4	2級							
鶴	21	2級		隺	鳥				
呈	7	準2級		口	王				
廷	7	準2級							
抵	8	4級							
邸	8	準2級							
亭	9	準2級							
貞	9	準2級							
帝	9	3級							
訂	9	3級		言	丁				
逓	10	準2級							
偵	11	準2級		人	貞				
堤	12	4級		土	是				
艇	13	準2級		舟	延				
締	15	3級		糸	帝				
諦	16	2級		言	帝				
泥	8	準2級		水	尼				
摘	14	4級		手	啇				
滴	14	4級		水	啇				
溺	13	2級		水	弱				
迭	8	準2級							
哲	10	3級		折	口				
徹	15	準2級							
撤	15	準2級							
添	11	4級		水	忝				
塡	13	2級							
殿	13	4級							
斗	4	3級							
吐	6	4級		叶	一				
妬	8	2級		女	石				
途	10	4級							
渡	12	4級		水	度				
塗	13	3級							
賭	16	2級		貝	者				
奴	5	4級		女	又				
怒	9	4級		奴	心				
到	8	4級		至	刀				
逃	9	4級							
倒	10	4級		人	致				
凍	10	3級							
唐	10	4級							
桃	10	4級		木	兆				
透	10	4級							
悼	11	準2級		心	卓	小	卓		
盗	11	4級		次	皿				
陶	11	3級							
塔	12	4級		土	荅				
搭	12	準2級		手	荅				
棟	12	準2級		木	東				
痘	12	3級							
筒	12	準2級		竹	同				
稲	14	4級							
踏	15	4級		足	沓				
謄	17	準2級							
藤	18	2級							
闘	18	4級							
騰	20	準2級							
洞	9	準2級		水	同				
胴	10	4級		肉	同	月	同		
瞳	17	2級		目	童				
峠	9	4級							
匿	10	3級							
督	13	準2級		叔	目				
篤	16	3級		竹	馬				
凸	5	準2級							
突	8	4級		穴	大				
屯	4	準2級							
豚	11	3級		豚	月	豕	肉		
頓	13	2級		屯	頁				
貪	11	2級		今	貝				
鈍	12	4級		金	屯				
曇	16	4級		日	雲				
丼	5	2級							
那	7	2級							
謎	17	2級		言	迷				
鍋	17	2級		金	咼				
軟	11	準2級		車	欠				
尼	5	準2級							
弐	6	4級							
匂	4	2級							
虹	9	2級		虫	工				
尿	7	3級							
妊	7	準2級		女	壬				
忍	7	準2級		刃	心				
寧	14	準2級							
捻	11	2級		手	念				
粘	11	3級		米	占				
悩	10	4級							
濃	16	4級		水	農				
把	7	準2級		手	巴				
覇	19	準2級							
婆	11	3級		波	女				
罵	15	2級							
杯	8	4級		木	不				
排	11	3級		木	非				
廃	12	準2級							
輩	15	4級		非	車				
培	11	準2級		土	咅				
陪	11	3級		阜	咅				
媒	12	準2級		女	某				
賠	15	準2級		貝	咅				
伯	7	準2級		人	白				
拍	8	4級		手	白				
泊	8	4級		水	白				
迫	8	4級							
剝	10	2級							
舶	11	準2級		舟	白				
薄	16	4級							
漠	13	準2級		水	莫				
縛	16	3級		糸	尃				
爆	19	4級		火	暴				
箸	15	2級		竹	者				
肌	6	準2級		肉	几				
鉢	13	準2級		金	本				
髪	14	4級							
伐	6	3級		人	戈				
抜	7	4級		手	友				
罰	14	4級							
閥	14	準2級		門	伐				
氾	5	2級		水	反				
帆	6	3級		巾	凡				
汎	6	2級		水	凡				
伴	7	3級		人	半				
畔	10	3級		田	半				
般	10	4級		舟	殳				
販	11	4級		貝	反				
斑	12	2級							
搬	13	4級		手	般				
煩	13	準2級		火	頁				
頒	13	準2級		分	頁				
範	15	4級							
繁	16	4級		敏	糸				
藩	18	3級							
蛮	12	3級							
盤	15	4級		般	皿				
妃	6	準2級		女	己				
彼	8	4級							
披	8	準2級		手	皮				
卑	9	3級							
疲	10	4級							
被	10	4級		衣	皮				
扉	12	準2級		戸	非				
碑	14	3級		石	卑				
罷	15	準2級							
避	16	4級							
尾	7	4級							
眉	9	2級							
微	13	4級							
膝	15	2級							
肘	7	2級		肉	寸	月	寸		
匹	4	4級							
泌	8	3級		水	必				
姫	10	3級		女	臣				
漂	14	3級		水	票				
苗	8	3級							
描	11	4級		手	苗				
猫	11	準2級		犬	苗				
浜	10	4級		水	兵				
賓	15	準2級							
頻	17	準2級		歩	頁				
敏	10	4級		毎	攵				
瓶	11	準2級		并	瓦				
扶	7	準2級		手	夫				
怖	8	4級		心	布	小	布		
附	8	準2級		阜	付				
訃	9	2級		言	卜				
赴	9	3級		走	卜				
浮	10	4級		水	孚				
符	11	3級		竹	付				
普	12	4級		並	日				
腐	14	4級		肉	府				
敷	15	4級		旉	夫				
膚	15	4級							
賦	15	4級		貝	武				
譜	19	準2級		言	普				
侮	8	準2級		人	毎				
舞	15	4級							
封	9	3級		寸	圭				
伏	6	3級		人	犬				
幅	12	4級		巾	畐				
覆	18	3級		西	復				
払	5	4級							
沸	8	準2級		水	弗				
紛	10	3級		糸	分				
雰	12	準2級		雨	分				
噴	15	4級		口	賁				
墳	15	3級		土	賁				
憤	15	準2級		心	賁	小	賁		
丙	5	準2級		一	内				
併	8	準2級		人	并				
柄	9	4級		木	丙				
塀	12	準2級		土	屏				
幣	15	準2級		敝	巾				
弊	15	準2級		敝	廾				
蔽	15	2級							
餅	15	2級		食	并				
壁	16	4級							
璧	18	2級							
癖	18	3級							
蔑	14	2級							
偏	11	準2級		人	偏				
遍	12	準2級							
哺	10	2級		口	甫				
捕	10	4級		手	甫				
舗	15	4級		舍	甫				
募	12	3級							
慕	14	3級							
簿	19	3級		竹	溥				
芳	7	3級							
邦	7	3級							
奉	8	3級							
抱	8	4級		手	包				
泡	8	準2級		水	包				
胞	9	3級		月	包				
俸	10	準2級		人	奉				
倣	10	3級		人	放				
峰	10	4級		山	夆				
砲	10	4級		石	包				
崩	11	3級		山	朋				
蜂	13	2級		虫	夆				
飽	13	3級		食	包				
褒	15	準2級		衣	保				
縫	16	3級		糸	逢				
乏	4	3級							
忙	6	4級		心	亡	小	亡		
坊	7	4級		土	方				
妨	7	3級		女	方				
房	8	3級		戸	方				
肪	8	4級		肉	方	月	方		
某	9	3級							
冒	9	4級		日	目				
剖	10	準2級							
紡	10	準2級		糸	方				
傍	12	4級							
帽	12	4級		巾	冒				
貌	14	2級							
膨	16	3級							
謀	16	3級		言	某				
頰	16	2級							
朴	6	準2級		木	卜				
睦	13	2級							
僕	14	準2級							
墨	14	3級							
撲	15	準2級							
没	7	3級		水	殳				
勃	9	2級							
堀	11	準2級		土	屈				
奔	8	準2級							
翻	18	3級		番	羽				
凡	3	4級							
盆	9	4級		分	皿				
麻	11	準2級							
摩	15	準2級		麻	手				
磨	16	準2級		麻	石				
魔	21	3級		麻	鬼				
昧	9	2級		日	末				
埋	10	3級		土	里				
膜	14	3級		肉	莫	月	莫		
枕	8	2級		木	冘				
又	2	3級							
抹	8	準2級		手	末				
慢	14	4級							
漫	14	4級							
魅	15	3級		鬼	未				
岬	8	準2級		山	甲				
蜜	14	2級							
妙	7	4級		女	少				
眠	10	4級		目	民				
矛	5	4級							
霧	19	4級		雨	務				
娘	10	4級		女	良				
冥	10	2級							
銘	14	準2級		金	名				
滅	13	3級		水	威				
免	8	3級							
麺	16	2級		麦	面				
茂	8	4級							
妄	6	準2級		亡	女				
盲	8	準2級		亡	目				
耗	10	準2級							
猛	11	4級							
網	14	4級							
黙	15	4級							
紋	10	4級		糸	文				
冶	7	2級							
弥	8	2級							
厄	4	準2級							
躍	21	4級							
闇	17	2級		門	音				
喩	12	2級							
愉	12	準2級							
諭	16	準2級							
癒	18	準2級							
唯	11	準2級							
幽	9	3級							
悠	11	準2級							
湧	12	2級		水	勇				
猶	12	準2級							
裕	12	準2級		衣	谷				
雄	12	4級							
誘	14	3級		言	秀				
憂	15	3級							
融	16	準2級							
与	3	4級							
誉	13	4級							
妖	7	2級							
庸	11	準2級							
揚	12	3級		手	易				
揺	12	3級							
溶	13	4級		水	容				
腰	13	4級		肉	要	月	要		
瘍	14	2級							
踊	14	4級							
窯	15	準2級							
擁	16	3級							
謡	16	4級							
抑	7	3級							
沃	7	2級							
翼	17	4級		羽	異				
拉	8	2級		手	立				
裸	13	3級		衣	果				
羅	19	準2級							
雷	13	4級		雨	田				
頼	16	4級		束	頁				
絡	12	4級		糸	各				
酪	13	準2級		酉	各				
辣	14	2級		辛	束				
濫	18	3級		水	監				
藍	18	2級							
欄	20	4級		木	闌				
吏	6	3級		一	史				
痢	12	準2級							
履	15	準2級							
璃	14	2級							
離	18	4級							
慄	13	2級		心	栗				
柳	9	準2級							
竜	10	準2級							
粒	11	4級		米	立				
隆	11	3級							
硫	12	準2級							
侶	9	2級		人	呂				
虜	13	準2級							
慮	15	4級							
了	2	3級							
涼	11	準2級		水	京				
猟	11	3級							
陵	11	3級							
僚	14	準2級							
寮	15	準2級							
療	17	4級							
瞭	17	2級		目	寮				
糧	18	3級		米	量				
厘	9	3級							
倫	10	準2級							
隣	16	4級							
瑠	14	2級		王	留				
涙	10	4級		水	戻				
累	11	準2級		糸	田				
塁	12	準2級							
励	7	3級							
戻	7	準2級		戸	大				
鈴	13	準2級		金	令				
零	13	3級		雨	令				
霊	15	3級							
隷	16	4級							
齢	17	4級		歯	令				
麗	19	4級							
暦	14	4級							
劣	6	4級		少	力				
烈	10	4級		列	火				
裂	12	3級		列	衣				
恋	10	4級							
廉	13	3級							
錬	16	3級		金	東				
呂	7	2級							
炉	8	3級		火	戸				
賂	13	2級		貝	各				
露	21	4級		雨	路				
弄	7	2級							
郎	9	4級							
浪	10	3級		水	良				
廊	12	3級							
楼	13	3級							
漏	14	3級							
籠	22	2級		竹	龍				
麓	19	2級		林	鹿				
賄	13	準2級		貝	有				
脇	10	2級							
惑	12	4級		心	或				
枠	8	準2級							
湾	12	3級							
腕	12	4級		肉	宛	月	宛		
井	4	7級							
阪	7	7級		阜	反				
佐	7	7級		人	左				
岐	7	7級		山	支				
沖	7	7級							
阜	8	7級							
岡	8	7級							
奈	8	7級		大	示				
香	9	7級		禾	日				
茨	9	7級							
栃	9	7級							
鹿	11	7級							
崎	11	7級		山	奇				
埼	11	7級		土	奇				
梨	11	7級		利	木				
滋	12	7級							
媛	12	7級							
熊	14	7級		能	火				
潟	15	7級							
縄	15	7級							
威	9	4級							
𠮟	5	2級		口	七				
叱	5	2級							
剥	10	2級							
䇳	12	2級							
喻	12	2級							
填	13	2級		土	真				
彚	13	2級							
頬	15	2級							
𥡴	16	2級							
